Word,Correct spelling / Incorrect spelling
नमस्ते,correct spelling
भारत,correct spelling
हिन्दी,correct spelling
दुनिया,correct spelling
स्कूल,correct spelling
पानी,correct spelling
खाना,correct spelling
बच्चे,correct spelling
सरकार,correct spelling
शिक्षा,correct spelling
विद्यालय,correct spelling
परिवार,correct spelling
दोस्त,correct spelling
कहानी,correct spelling
ज़िंदगी,correct spelling
अस्पताल,correct spelling
रास्ता,correct spelling
बाज़ार,correct spelling
किताब,correct spelling
गाड़ी,correct spelling
मोबाइल,correct spelling
कंप्यूटर,correct spelling
इंटरनेट,correct spelling
टेक्नोलॉजी,correct spelling
है,correct spelling
हैं,correct spelling
था,correct spelling
थे,correct spelling
की,correct spelling
के,correct spelling
का,correct spelling
एक,correct spelling
में,correct spelling
से,correct spelling
और,correct spelling
को,correct spelling
यह,correct spelling
पर,correct spelling
भी,correct spelling
तो,correct spelling
जो,correct spelling
कि,correct spelling
नहीं,correct spelling
हम,correct spelling
आप,correct spelling
मैं,correct spelling
कुछ,correct spelling
सब,correct spelling
अभी,correct spelling
बहुत,correct spelling
करना,correct spelling
होना,correct spelling
लेकिन,correct spelling
अगर,correct spelling
साथ,correct spelling
बाद,correct spelling
पहले,correct spelling
kkk,incorrect spelling
xyz,incorrect spelling
ाम,incorrect spelling
्रर,incorrect spelling
॥॥,incorrect spelling
abcde,incorrect spelling
12345,incorrect spelling
hello,incorrect spelling
world,incorrect spelling
ंंंं,incorrect spelling
ँँँँ,incorrect spelling
फ़ोन,correct spelling
कॉलेज,correct spelling
डॉक्टर,correct spelling
ऑफ़िस,incorrect spelling
